,Name,Address,Ratings,Website,Telephone,YearsInBusiness
0,Estate Liquidators Dallas,"4147 myerwood laneDallas, TX 75244",,http://www.estateliquidatorsdallas.com,(972) 818-5151,12YEARSIN BUSINESS
1,Clements Realtors,"6500 E Mockingbird Ln Ste 100Dallas, TX 75214",,http://www.clementsrealtors.com,(214) 824-8173,67YEARSIN BUSINESS
2,Central Jewelry & Loan,"10065 Marsh Ln Suite 138Dallas, TX 75229",(1),http://www.centraljewelryandloan.com,(214) 352-7296,27YEARSIN BUSINESS
3,Power Properties,"5923 Gaston AveDallas, TX 75214",(9),http://www.powerproperties.com,(214) 550-0000,32YEARSIN BUSINESS
4,MatiseDan Realty Service,"Po Box 12248Dallas, TX 75225",,,(214) 363-8504,54YEARSIN BUSINESS
5,Kim Roulias Realty,"1400 Hi Line DriveDallas, TX 75204",(4),http://www.kimroulias.com,(214) 403-3661,25YEARSIN BUSINESS
6,Century 21,"1140 Empire Central DrDallas, TX 75247",,http://www.century21.com,(214) 920-9611,
7,DFW Realties,"3131 Mckinney Ave Ste 600Dallas, TX 75204",,http://www.dfwrealties.com,(214) 245-4546,
8,3500 Oak Lawn,"3500 Oak Lawn AveDallas, TX 75219",,http://pmrg.com,(214) 520-3650,11YEARSIN BUSINESS
9,S A S & Associates Inc,"14860 Montfort DrDallas, TX 75254",,http://www.sasassociates.com,(972) 934-9788,28YEARSIN BUSINESS
10,1900 Mckinney,"1900 Mckinney AveDallas, TX 75201",(2),http://www.1900mckinney.com,(214) 646-3060,
11,CB Richard Ellis,"2100 McKinney AveDallas, TX 75201",,http://www.cbre.com,(214) 965-0748,
12,William Davis Realty,"3333 Lee PkwyDallas, TX 75219",,http://www.dfwsold.com,(214) 740-1111,12YEARSIN BUSINESS
13,Dallas City Homes Leasing,"729 N Bishop AveDallas, TX 75208",,http://www.dallascityhomes.net/index.php?/rentals,(214) 943-9007,31YEARSIN BUSINESS
14,Casa Real Estate,"8106 Scyene RdDallas, TX 75227",,,(214) 381-7400,11YEARSIN BUSINESS
15,Burdine Realty Company,"2211 Commerce StDallas, TX 75201",,,(214) 550-1550,
16,Real Estate Agent Gregory Franklin Coldwell Banker,"Dallas, TX 75228",,,(214) 884-8211,
17,Ultima Real Estate Svc Inc,"5339 Alpha Rd Ste 120Dallas, TX 75240",,http://ultimarealestate.com,(972) 980-9393,
18,Elle Realty,"718 N Buckner BlvdDallas, TX 75218",(2),http://www.ellerealty.com,(214) 324-5297,
19,AUSTIN GARRISON and ASSOCIATES,"5930 Royal LnDallas, TX 75230",,http://austingarrisonllc.com,(214) 687-7072,
20,Diaz Realtors,"8127 Bruton RdDallas, TX 75217",,,(214) 381-7777,29YEARSIN BUSINESS
